Title,Studio,Release Date,Reference,Standout,Native 4k,Dolby Vision,HDR10+,Imax Enhanced,60 FPS,Dolby Atmos,DTS:X
300,Warner Bros. Home Entertainment,10/6/20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1917,Universal Studios Home Entertainment,3/24/2020,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"007: The Daniel Craig Collection (Casino Royale, Quantum of Solace, Skyfall, SPECTRE)",20th Century Fox Home Entertainment (Walt Disney previously MGM),10/22/19,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
10 Cloverfield Lane,Paramount Pictures Home Entertainment,1/23/18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13 Hours: The Secret Soldiers of Benghazi,Paramount Pictures Home Entertainment,6/11/19,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2 Fast 2 Furious,Universal Studios Home Entertainment,10/2/18,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2001: A Space Odyssey,Warner Bros. Home Entertainment,12/18/18,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
21 Bridges,Universal Studios Home Entertainment,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21 Jump Street (2012),Sony Pictures Home Entertainment,9/14/20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
22 Jump Street (2014),Sony Pictures Home Entertainment,9/14/20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
3 From Hell,Lionsgate,10/15/19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3:10 to Yuma,Lionsgate,5/2/17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
47 Ronin (2013),Universal Studios Home Entertainment,5/5/20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
