Title,Reference Disc,Standout Disc,Native 4k,Dolby Vision,HDR10+,Imax Enhanced,60 FPS,Dolby Atmos,DTS:X,Release Date,Studio
"007: The Daniel Craig Collection (Casino Royale, Quantum of Solace, Skyfall, SPECTRE)",false,true,true,true,false,false,false,false,false,10/22/19,20th Century Studios Home Entertainment (ex Fox now Walt Disney previously MGM)
"10 Cloverfield Lane",false,false,false,false,false,false,false,false,false,1/23/18,Paramount Pictures Home Entertainment
"13 Hours: The Secret Soldiers of Benghazi (Steelbook)",false,false,false,true,false,false,false,true,false,3/2/21,Paramount Pictures Home Entertainment
"13 Hours: The Secret Soldiers of Benghazi",false,false,false,true,false,false,false,true,false,6/11/19,Paramount Pictures Home Entertainment
"1917",true,false,true,true,true,false,false,true,false,3/24/2020,Universal Studios Home Entertainment
"2 Fast 2 Furious",false,true,true,false,false,false,false,false,true,10/2/18,Universal Studios Home Entertainment
"2001: A Space Odyssey",true,false,true,true,false,false,false,false,false,12/18/18,Warner Bros. Home Entertainment
"2012",true,false,true,false,false,false,false,true,false,1/19/21,Sony Pictures Home Entertainment
"21 Jump Street (2012)",false,false,true,false,false,false,false,true,false,9/14/20,Sony Pictures Home Entertainment
"22 Jump Street (2014)",false,false,true,false,false,false,false,true,false,9/14/20,Sony Pictures Home Entertainment
"3 From Hell",false,false,false,false,false,false,false,false,false,10/15/19,Lionsgate
"3 from Hell (Steelbook)",false,false,true,true,false,false,false,false,false,9/28/21,Lionsgate
"300",false,true,false,false,false,false,false,true,false,10/6/20,Warner Bros. Home Entertainment
"3:10 to Yuma",false,false,false,false,false,false,false,false,true,5/2/17,Lionsgate
"47 Ronin (2013)",false,false,true,false,false,false,false,false,true,5/5/20,Universal Studios Home Entertainment
"4K TITLE TBA",false,false,true,false,false,false,false,false,false,11/26/21,Vinegar Syndrome
"5th Wave, The",false,false,false,false,false,false,false,true,false,5/3/16,Sony Pictures Home Entertainment
"A Beautiful Day in the Neighborhood",false,false,true,false,false,true,false,false,true,2/18/20,Sony Pictures Home Entertainment
"A Beautiful Planet: IMAX",true,false,true,false,false,true,false,false,true,12/11/18,Mill Creek Entertainment
"A Bug's Life",false,false,false,false,false,false,false,true,false,3/3/2020,Walt Disney Studios Home Entertainment (also Fox see above)
"A Charlie Brown Christmas",false,false,true,false,false,false,false,false,false,10/31/17,Warner Bros. Home Entertainment
"A Charlie Brown Thanksgiving",false,false,true,false,false,false,false,false,false,10/24/17,Warner Bros. Home Entertainment
"A Clockwork Orange",false,true,true,false,false,false,false,false,false,9/21/21,Warner Bros. Home Entertainment
"A Few Good Men",true,false,true,false,false,false,false,true,false,11/7/17,Sony Pictures Home Entertainment
"A Fistful of Dollars (1964)",false,false,true,false,false,false,false,false,false,TBA 2022,Kino Lorber Studio Classics
"A Hard Day's Night",false,false,true,false,false,false,false,false,false,TBA,The Criterion Collection
"A League of Their Own (only available in Columbia Classics 4K: Vol. 1)",false,false,true,false,false,false,false,false,false,6/16/20,Sony Pictures Home Entertainment
"A League of Their Own (single-film SKU)",false,false,false,false,false,false,false,false,false,TBA 2021,Sony Pictures Home Entertainment
"A Quiet Place (Mondo Steelbook)",true,false,true,true,false,false,false,true,false,3/10/20,Paramount Pictures Home Entertainment
"A Quiet Place",true,false,true,true,false,false,false,true,false,7/10/18,Paramount Pictures Home Entertainment
"A Quiet Place: Part II",true,false,true,true,false,false,false,true,false,7/27/21,Paramount Pictures Home Entertainment
"A River Runs Through It",false,false,true,true,false,false,false,false,false,TBA 2021,Capelight Pictures (Germany)
"A Simple Favor",false,false,false,false,false,false,false,false,false,12/18/2018,Lionsgate
"A Star Is Born (2018)",false,false,false,true,false,false,false,true,false,2/19/19,Warner Bros. Home Entertainment
"A Wrinkle in Time",false,true,false,false,false,false,false,true,false,6/5/18,Walt Disney Studios Home Entertainment (also Fox see above)
"Abominable",false,false,false,false,false,false,false,false,false,12/17/19,Universal Studios Home Entertainment
"Abyss, The",false,false,true,false,false,false,false,false,false,"",20th Century Studios Home Entertainment (ex Fox now Walt Disney previously MGM)
"Accountant, The",false,false,false,false,false,false,false,false,false,1/10/17,Warner Bros. Home Entertainment
"Across the Universe",false,true,true,false,false,false,false,true,false,1/9/18,Sony Pictures Home Entertainment
"Ad Astra",false,true,true,false,false,false,false,true,false,12/17/19,20th Century Studios Home Entertainment (ex Fox now Walt Disney previously MGM)
"Addams Family, The",false,false,true,false,false,false,false,false,false,11/9/21,Paramount Pictures Home Entertainment
"Air Force One",false,false,true,false,false,false,false,true,false,11/6/18,Sony Pictures Home Entertainment
"Aircraft Carrier: Guardian of the Seas",false,false,true,false,false,false,false,false,false,2/5/19,Shout! Factory
"Akira Kurosawa's Ran (Steelbook)",false,true,true,true,false,false,false,false,false,TBA,Lionsgate
"Akira Kurosawa's Ran",false,true,true,true,false,false,false,false,false,7/19/21,StudioCanal (UK/Germany/France)
"Akira",false,true,true,false,false,false,false,false,false,12/22/20,FUNimation
"Aladdin (1992)",false,true,false,false,false,false,false,true,false,9/10/19,Walt Disney Studios Home Entertainment (also Fox see above)
"Aladdin (2019)",false,false,false,false,false,false,false,true,false,9/10/19,Walt Disney Studios Home Entertainment (also Fox see above)
"Alfred Hitchcock Classics Collection",false,false,true,false,false,false,false,false,false,9/8/2020,Universal Studios Home Entertainment
"Alien: 40th Anniversary Edition",true,false,true,false,true,false,false,false,false,4/23/19,20th Century Studios Home Entertainment (ex Fox now Walt Disney previously MGM)
"Alien: Covenant",false,true,false,false,false,false,false,true,false,8/15/17,20th Century Studios Home Entertainment (ex Fox now Walt Disney previously MGM)
"Alita: Battle Angel (with Blu-ray 3D)",false,false,false,true,true,false,false,true,false,7/23/19,20th Century Studios Home Entertainment (ex Fox now Walt Disney previously MGM)
"Allied",false,true,true,false,false,false,false,false,false,2/28/17,Paramount Pictures Home Entertainment
"Almost Famous (includes BOTH cuts of the film) (Steelbook)",true,false,true,true,false,false,false,false,false,7/13/21,Paramount Pictures Home Entertainment
"Amadeus",false,false,true,false,false,false,false,false,false,"",The Criterion Collection
"Amadeus",false,false,true,false,false,false,false,false,false,TBA 2022,Warner Bros. Home Entertainment
"Amazing Spider-Man 2, The",true,false,true,false,false,false,false,true,false,2/23/16,Sony Pictures Home Entertainment
"Amazing Spider-Man, The (1-2): Limited Edition Collection",false,false,true,false,false,false,false,false,false,10/17/17,Sony Pictures Home Entertainment
"American Assassin",false,false,false,true,false,false,false,true,false,12/5/17,Lionsgate
"American Gangster",false,false,true,false,false,false,false,false,true,10/15/19,Universal Studios Home Entertainment
"American Made",false,false,false,false,false,false,false,false,true,1/9/18,Universal Studios Home Entertainment
"American Psycho (Steelbook)",false,false,true,true,false,false,false,true,false,10/5/21,Lionsgate
"American Psycho",false,false,true,true,false,false,false,true,false,9/25/18,Lionsgate
"An American Werewolf in London",false,false,true,false,false,false,false,false,false,11/13/20,Turbine Media (Germany)
"An American Werewolf in London",false,false,true,false,false,false,false,false,false,TBA 2021,Universal Studios Home Entertainment
"An American Werewolf in London: Limited Edition",false,false,true,false,false,false,false,false,false,3/12/21,Turbine Media (Germany)
"An American Werewolf in Paris",false,false,true,false,false,false,false,false,false,TBA 2021,Turbine Media (Germany)
"Anatomy of a Murder (only available in Columbia Classics 4K: Vol. 2)",false,false,true,false,false,false,false,true,false,10/12/21,Sony Pictures Home Entertainment
"Angel Has Fallen",false,false,true,true,false,false,false,true,false,11/26/19,Lionsgate
"Angel Heart",false,false,true,false,false,false,false,false,false,10/14/19,StudioCanal (UK/Germany/France)
"Angel Heart",false,false,true,false,false,false,false,false,false,9/19/19,StudioCanal (UK/Germany/France)
"Angel Heart: Limited Edition Steelbook",false,false,true,false,false,false,false,false,false,4/2/20,StudioCanal (UK/Germany/France)
"Angels & Demons",false,false,true,false,false,false,false,true,false,10/11/16,Sony Pictures Home Entertainment
"Angry Birds Movie 2, The",false,false,false,false,false,true,false,true,true,11/12/16,Sony Pictures Home Entertainment
"Angry Birds Movie, The",false,false,false,false,false,false,false,true,false,8/16/16,Sony Pictures Home Entertainment
"Anna",false,false,false,true,false,false,false,true,false,9/24/19,Lionsgate
"Annihilation",true,false,true,true,false,false,false,true,false,5/29/18,Paramount Pictures Home Entertainment
"Ant-Man and The Wasp",false,false,false,false,false,false,false,true,false,10/16/18,Walt Disney Studios Home Entertainment (also Fox see above)
"Ant-Man",false,false,false,false,false,false,false,true,false,10/1/19,Walt Disney Studios Home Entertainment (also Fox see above)
"Antebellum",false,false,true,true,false,false,false,true,false,11/3/20,Lionsgate
"Apocalypse Now: Final Cut – 40th Anniversary Edition",true,false,true,true,false,false,false,true,false,8/27/19,Lionsgate
"Apollo 11",false,false,true,false,false,false,false,false,false,11/4/19,Dogwoof (UK)
"Apollo 13 (Steelbook)",false,false,false,false,false,false,false,false,false,6/2/20,Universal Studios Home Entertainment
"Apollo 13",false,true,true,false,false,false,false,false,true,10/17/17,Universal Studios Home Entertainment
"Aquaman",true,false,false,true,false,false,false,true,false,3/26/19,Warner Bros. Home Entertainment
"Argo",false,false,true,false,false,false,false,false,false,12/6/16,Warner Bros. Home Entertainment
"Arizona (2018)",false,false,false,false,false,false,false,false,false,10/16/18,Image (RLJ Entertainment/Cinestate)
"Army of Darkness",false,false,true,true,false,false,false,false,false,TBA 2021,Shout! Factory
"Arrival, The",false,false,false,false,false,false,false,false,false,2/14/17,Paramount Pictures Home Entertainment
"Art of Racing in the Rain, The",false,false,false,false,false,false,false,false,false,"",20th Century Studios Home Entertainment (ex Fox now Walt Disney previously MGM)
"Assassin's Creed",false,true,true,false,false,false,false,true,false,3/21/17,20th Century Studios Home Entertainment (ex Fox now Walt Disney previously MGM)
"Atomic Blonde",false,true,false,true,false,false,false,false,true,11/14/17,Universal Studios Home Entertainment
"Avatar: 10th Anniversary Edition",false,false,false,false,false,false,false,false,false,TBA 2021,20th Century Studios Home Entertainment (ex Fox now Walt Disney previously MGM)
"Avengers, The",false,true,false,false,false,false,false,true,false,8/14/18,Walt Disney Studios Home Entertainment (also Fox see above)
"Avengers: Age of Ultron",false,true,false,false,false,false,false,true,false,8/14/18,Walt Disney Studios Home Entertainment (also Fox see above)
"Avengers: Endgame",false,true,false,false,false,false,false,true,false,8/13/19,Walt Disney Studios Home Entertainment (also Fox see above)
"Avengers: Infinity War",false,true,false,false,false,false,false,true,false,8/14/18,Walt Disney Studios Home Entertainment (also Fox see above)
"Awaken (2021)",true,false,true,true,false,false,false,false,false,8/31/21,Vinegar Syndrome
"Babadook, The: Limited Edition",false,false,true,false,false,false,false,false,false,6/21/21,Second Sight (UK)
"Baby Driver",false,true,false,false,false,false,false,true,false,10/10/17,Sony Pictures Home Entertainment
"Back to the Future, The: The Ultimate Trilogy (Amazon exclusive with Hoverboard)",false,true,true,true,true,false,false,true,false,10/20/20,Universal Studios Home Entertainment
"Back to the Future, The: The Ultimate Trilogy",false,true,true,true,true,false,false,true,false,10/20/20,Universal Studios Home Entertainment
"Backdraft",false,false,true,false,false,false,false,false,true,5/7/19,Universal Studios Home Entertainment
"Bad Boys 1 & 2 Collection",false,false,true,false,false,false,false,true,false,9/4/18,Sony Pictures Home Entertainment
"Bad Boys for Life",false,false,false,false,false,false,false,false,true,4/28/20,Sony Pictures Home Entertainment
"Bad Santa 2: Unrated",false,false,true,false,false,false,false,false,false,2/21/17,Broad Green Pictures
"Bad Times at the El Royale",false,false,true,false,true,false,false,true,false,1/1/19,20th Century Studios Home Entertainment (ex Fox now Walt Disney previously MGM)
"Basic Instinct",false,false,true,true,false,false,false,true,false,6/14/21,StudioCanal (UK/Germany/France)
"Batman & Robin",false,false,true,false,false,false,false,true,false,6/4/19,Warner Bros. Home Entertainment
"Batman (1989)",true,false,true,false,false,false,false,true,false,6/4/19,Warner Bros. Home Entertainment
"Batman 4K Film Collection, The (all four films)",false,false,true,true,false,false,false,false,false,9/17/19,Warner Bros. Home Entertainment
"Batman Begins",false,false,true,false,false,false,false,false,false,12/19/17,Warner Bros. Home Entertainment
"Batman Forever",false,false,true,false,false,false,false,true,false,6/4/19,Warner Bros. Home Entertainment
"Batman Returns",true,false,true,false,false,false,false,true,false,6/4/19,Warner Bros. Home Entertainment
"Batman and Harley Quinn",false,false,false,false,false,false,false,false,false,8/29/17,Warner Bros. Home Entertainment
