Title,Reference Disc,Standout Disc,Native 4k,Dolby Vision,HDR10+,Imax Enhanced,60 FPS,Dolby Atmos,DTS:X,Release Date,Studio,Review,Buy US,Buy UK
"007: The Daniel Craig Collection (Casino Royale, Quantum of Solace, Skyfall, SPECTRE)",false,true,true,true,false,false,false,false,false,10/22/19,20th Century Studios Home Entertainment (ex Fox now Walt Disney previously MGM),=HYPERLINK("https://thedigitalbits.com/item/007-daniel-craig-collection-uhd";"Review"),=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B07XN4DTYD/camerontec014-20";"www.amazon.com"),
"10 Cloverfield Lane",false,false,false,false,false,false,false,false,false,1/23/18,Paramount Pictures Home Entertainment (also CBS Studios),=HYPERLINK("https://thedigitalbits.com/item/10-cloverfield-lane-uhd-bd";"Review"),=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B0772M24VS/camerontec014-20";"www.amazon.com"),
"100 Years of Warner Bros. Classic Hollywood 5-Film 4K Collection (1930s–1960s) (includes The Wizard of Oz, Citizen Kane, Casablanca, Singin' in the Rain & Rebel Without a Cause)",false,false,false,false,false,false,false,false,false,4/4/23,Warner Bros. Home Entertainment,,,=HYPERLINK("http://www.amazon.co.uk/dp/B0BT8C8GFV/ref=nosim?tag=thedigbit-21";"www.amazon.co.uk")
"100 Years of Warner Bros. Modern Blockbusters 5-Film 4K Collection (1990s–Today) (includes GoodFellas, Unforgiven, The Shawshank Redemption, Training Day & Elvis)",false,false,false,false,false,false,false,false,false,9/19/23,Warner Bros. Home Entertainment,,,=HYPERLINK("http://www.amazon.co.uk/dp/B0BT8CYP5W/ref=nosim?tag=thedigbit-21";"www.amazon.co.uk")
"100 Years of Warner Bros. New Hollywood 5-Film 4K Collection (1970s–1980s) (includes Enter the Dragon, Willy Wonka & the Chocolate Factory, Gremlins, The Goonies & The Lost Boys)",false,false,false,false,false,false,false,false,false,8/8/23,Warner Bros. Home Entertainment,,,=HYPERLINK("http://www.amazon.co.uk/dp/B0BT8CVXMT/ref=nosim?tag=thedigbit-21";"www.amazon.co.uk")
"12 Angry Men (1957)",true,false,true,true,false,false,false,false,false,4/18/23,Kino Lorber Studio Classics,=HYPERLINK("https://thedigitalbits.com/item/12-angry-men-kino-2023-uhd";"Review"),=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B0BS2GZWVV/thedigitalbit-20";"www.amazon.com"),
"12 Monkeys",false,true,true,true,false,false,false,false,false,4/26/22,Arrow Video,=HYPERLINK("https://thedigitalbits.com/item/12-monkeys-arrow-2022-uhd";"Review"),=HYPERLINK("https://www.awin1.com/cread.php?awinmid=6037&awinaffid=745023&ued=https%3A%2F%2Fwww.zavvi.com%2Fblu-ray%2F12-monkeys-4k-ultra-hd%2F13633201.html";"www.awin1.com"),=HYPERLINK("https://www.awin1.com/cread.php?awinmid=2549&awinaffid=745023&ued=https%3A%2F%2Fwww.zavvi.com%2Fblu-ray%2F12-monkeys-4k-ultra-hd%2F13633201.html";"www.awin1.com")
"13 Hours: The Secret Soldiers of Benghazi (Steelbook)",false,false,false,true,false,false,false,true,false,3/2/21,Paramount Pictures Home Entertainment (also CBS Studios),,,
"13 Hours: The Secret Soldiers of Benghazi",false,false,false,true,false,false,false,true,false,6/11/19,Paramount Pictures Home Entertainment (also CBS Studios),,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/6317790825/camerontec014-20";"www.amazon.com"),
"1776: 50th Anniversary Director's Cut",false,false,true,true,false,false,false,true,false,5/31/22,Sony Pictures Home Entertainment,,=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B09SM1RT8J/thedigitalbit-20";"www.amazon.com"),
"1917",false,false,true,true,true,false,false,true,false,12/12/22,Vice Press/The Film Vault (UK),,,=HYPERLINK("http://www.amazon.co.uk/dp/B0BDSVKF77/ref=nosim?tag=thedigbit-21";"www.amazon.co.uk")
"1917",true,false,true,true,true,false,false,true,false,3/24/2020,Universal Studios Home Entertainment,=HYPERLINK("https://thedigitalbits.com/item/1917-uhd";"Review"),=HYPERLINK("https://www.amazon.com/exec/obidos/ASIN/B082PQKG2B/camerontec014-20";"www.amazon.com"),=HYPERLINK("http://www.amazon.co.uk/dp/B082YPWNHG/ref=nosim?tag=thedigbit-21";"www.amazon.co.uk")
